permno,ticker,company,position_type,months_held,avg_monthly_return,total_contribution,win_rate,avg_predicted_eps,avg_actual_eps,first_date,last_date,eps_prediction_error,eps_direction_correct
93420,OAS,OASIS PETR,SHORT,6,-0.005328178649999997,-0.03196907189999998,0.5,-14.5878066688027,-0.06499999999999999,2016-11-01,2017-05-01,14.522806668802701,True
13400,WAGE,WAGEWORKS INC,SHORT,1,0.018580277,0.018580277,1.0,-15.83573384391596,0.36,2016-12-01,2016-12-01,16.19573384391596,False
84761,TTWO,TAKE-TWO INT SFT,SHORT,23,-0.0422819042173913,-0.972483797,0.2608695652173913,-16.967459776457225,0.8839130434782606,2016-12-01,2018-11-01,17.851372819935484,False
89901,WLL,WHITING PETROLEU,SHORT,2,0.0833321035,0.166664207,1.0,-14.928457011977692,-69.0,2016-12-01,2017-05-01,54.07154298802231,True
66683,RES,RPC INC,SHORT,7,-0.044861124114285715,-0.3140278688,0.42857142857142855,-14.519134911047372,0.18285714285714286,2016-12-01,2017-10-01,14.701992053904515,False
92239,CXO,CONCHO RESOURCES,SHORT,2,0.052243753500000004,0.10448750700000001,1.0,-14.692211952690736,0.345,2016-12-01,2017-03-01,15.037211952690736,False
80926,CPE,CALLON,SHORT,7,0.08342495164285715,0.5839746615000001,0.7142857142857143,-22.44449518236736,2.3742857142857146,2016-12-01,2022-06-01,24.818780896653074,False
14803,HQY,HEALTHEQUITY,SHORT,33,-0.00846278317878788,-0.27927184490000007,0.5151515151515151,-18.392940769238674,0.3009090909090909,2016-12-01,2020-02-01,18.693849860147765,False
15707,HPE,HEWLETT PACKARD,LONG,14,-0.03208416397857143,-0.4491782957,0.35714285714285715,12.998174441440302,0.41571428571428576,2017-01-01,2019-08-01,12.582460155726016,True
89904,BWLD,BUFFALO WILD,LONG,1,-0.022420686,-0.022420686,0.0,12.86982847273191,0.87,2017-01-01,2017-01-01,11.999828472731911,True
11992,CHFC,CHEMICAL FINCL,SHORT,9,0.024870774344444443,0.2238369691,0.7777777777777778,-14.128295846174558,0.7522222222222221,2017-01-01,2019-08-01,14.88051806839678,False
14961,FMSA,FAIRMOUNT,SHORT,2,0.09084731985,0.1816946397,0.5,-17.606737568361687,-0.09,2017-01-01,2017-02-01,17.516737568361687,True
11308,KO,COCA-COLA,LONG,47,0.009170807431914894,0.4310279493,0.6382978723404256,16.185159592677696,0.5782978723404254,2017-02-01,2023-12-01,15.606861720337271,True
15408,KHC,KRAFT HEINZ,LONG,8,-0.025374843949999996,-0.20299875159999997,0.5,11.994514366083681,0.9224999999999999,2017-02-01,2018-08-01,11.072014366083682,True
13326,MTSI,MACOM,SHORT,5,-0.031215219740000005,-0.15607609870000003,0.6,-13.65389373740054,0.612,2017-02-01,2017-09-01,14.26589373740054,False
89395,PNFP,PINNACLE FINL,SHORT,7,0.004748888228571428,0.0332422176,0.5714285714285714,-13.903056916699148,0.8042857142857143,2017-02-01,2017-10-01,14.707342630984861,False
