year,month,date,long_portfolio,short_portfolio,long_short_return,long_holdings_count,short_holdings_count,total_holdings,rebalanced,rf,sp_ret,date_y
2018,4,2018-04-01,-0.0031988761479999983,0.008391177314000003,-0.011590053462,50,50,100,True,0.0014,0.002719,2018-04-01
2018,5,2018-05-01,0.009647062705999998,0.005820292366,0.003826770339999998,50,50,100,True,0.0014,0.021608,2018-05-01
2018,6,2018-06-01,-0.012601987504,0.010938023112,-0.023540010616,50,50,100,True,0.0014,0.004842,2018-06-01
2018,7,2018-07-01,0.048478634176,0.044785535078000004,0.0036930990979999953,50,50,100,True,0.0016,0.036022,2018-07-01
2018,8,2018-08-01,0.010670694796,0.01946610288,-0.008795408083999999,50,50,100,True,0.0016,0.030263,2018-08-01
2018,9,2018-09-01,-0.0011610252159999983,0.015771816798,-0.016932842014,50,50,100,True,0.0015,0.004294,2018-09-01
2018,10,2018-10-01,-0.06309571536200001,-0.05387931626,-0.009216399102000013,50,50,100,True,0.0019,-0.069403,2018-10-01
2018,11,2018-11-01,0.021353770117999996,0.026465073655999996,-0.005111303538,50,50,100,True,0.0018,0.017859,2018-11-01
2018,12,2018-12-01,-0.098676360908,-0.0909146152,-0.007761745707999992,50,50,100,True,0.002,-0.091777,2018-12-01
2019,1,2019-01-01,0.10172796003399999,0.057034231687999995,0.044693728345999995,50,50,100,True,0.0021,0.078684,2019-01-01
2019,2,2019-02-01,0.033386876518,0.034536123412,-0.0011492468939999986,50,50,100,True,0.0018,0.029729,2019-02-01
2019,3,2019-03-01,0.0021508886899999995,0.00204857217,0.00010231651999999952,50,50,100,True,0.0019,0.017924,2019-03-01
2019,4,2019-04-01,0.06104412471,0.01190464791,0.0491394768,50,50,100,True,0.0021,0.039313,2019-04-01
2019,5,2019-05-01,-0.070050647908,-0.06645766489400001,-0.0035929830139999896,50,50,100,True,0.0021,-0.065778,2019-05-01
2019,6,2019-06-01,0.079978551396,0.058887774194,0.021090777202000005,50,50,100,True,0.0018,0.06893,2019-06-01
2019,7,2019-07-01,0.01072266932,0.013772094755999999,-0.0030494254359999997,50,50,100,True,0.0019,0.013128,2019-07-01
2019,8,2019-08-01,-0.052023339110000004,-0.0058683778499999985,-0.04615496126,50,50,100,True,0.0016,-0.018092,2019-08-01
2019,9,2019-09-01,0.042069361208,0.013180535338,0.02888882587,50,50,100,True,0.0018,0.017181,2019-09-01
2019,10,2019-10-01,0.01686576964,-0.002497896039999999,0.01936366568,50,50,100,True,0.0016,0.020432,2019-10-01
2019,11,2019-11-01,0.048935314016,0.033008903235999996,0.015926410780000004,50,50,100,True,0.0012,0.034047,2019-11-01
2019,12,2019-12-01,0.032145934422,0.021832558972,0.010313375449999999,50,50,100,True,0.0014,0.02859,2019-12-01
2020,1,2020-01-01,-0.031874951436,-0.020794715230000003,-0.011080236205999995,50,50,100,True,0.0013,-0.001628,2020-01-01
2020,2,2020-02-01,-0.110958790228,-0.09449267987200001,-0.016466110355999986,50,50,100,True,0.0012,-0.08411,2020-02-01
2020,3,2020-03-01,-0.20163633463399996,-0.14541324917999998,-0.05622308545399998,50,50,100,True,0.0013,-0.125119,2020-03-01
2020,4,2020-04-01,0.11287268013400001,0.132579939838,-0.019707259704000002,50,50,100,True,0.0,0.126844,2020-04-01
